"entrez","symbol","ensembl","gene_type","baseMean","l2fc_raw","l2fc_shrunk","lfcSE","pvalue","padj","direction"
"103611157","TGFB2-OT1","ENSG00000281453","ncRNA",118.530869524342,3.60275830167402,3.34870883378542,0.684142679702162,1.39358455627088e-07,7.10181109199425e-06,"up"
"441151","TMEM151B","ENSG00000178233","protein-coding",1198.07487768638,-2.18292450403906,-2.03535652725133,0.417681628116361,1.72946854784526e-07,8.66768942802447e-06,"down"
"105370109","LOC105370109","ENSG00000262198","ncRNA",464.297382454678,2.38530343068807,2.21478844595504,0.463136264947529,2.60032029868323e-07,1.2750923133687e-05,"up"
"2239","GPC4","ENSG00000076716","protein-coding",11341.4002505619,1.52294857610891,1.43587019813992,0.295904283050606,2.6502286120402e-07,1.29723218812682e-05,"up"
"343052","LOC343052","ENSG00000291199","pseudo",49.9145893663372,-4.04168007695941,-3.72680258618223,0.789165626715971,3.03179287891384e-07,1.46298762921605e-05,"down"
"80854","SETD7","ENSG00000145391","protein-coding",1796.81986501789,1.51885239169018,1.4280150917479,0.296627799433835,3.04891489202136e-07,1.46865045258075e-05,"up"
"79710","MORC4","ENSG00000133131","protein-coding",1545.42076258083,1.65649085161732,1.55228386009336,0.324408353288266,3.28718308671221e-07,1.57507486249775e-05,"up"
"101928599","LINC02301","ENSG00000258743","ncRNA",36.7082470261468,8.01522009761113,7.9659709960842,1.57214678858555,3.42781708446063e-07,1.63384624109676e-05,"up"
"400765","MIR137HG","ENSG00000225206","ncRNA",173.033215254588,-2.04037181860989,-1.89945932770764,0.400441735717403,3.48184648464727e-07,1.65381642086103e-05,"down"
"3476","IGBP1","ENSG00000089289","protein-coding",2066.81214272211,1.53228739014981,1.43832376338524,0.301936212928321,3.87758572697457e-07,1.82273271138336e-05,"up"
"100507500","EGFR-AS1","ENSG00000224057","ncRNA",78.7257637139382,3.04319461040216,2.80915987797933,0.603505056308189,4.5940771129107e-07,2.13015167357819e-05,"up"
"840","CASP7","ENSG00000165806","protein-coding",911.849126097934,1.81220849915946,1.69078844356291,0.360087543725553,4.83648243346644e-07,2.23116509417985e-05,"up"
"100130701","LRRC58-DT","ENSG00000293512","ncRNA",623.045431332431,2.00863298388556,1.86637137473064,0.399649593044088,5.00854228671245e-07,2.29887031826478e-05,"up"
"163782","KANK4","ENSG00000132854","protein-coding",97.1986801447433,2.30670563411341,2.13600818093255,0.460231601901937,5.38520900316157e-07,2.45112417799995e-05,"up"
"5629","PROX1","ENSG00000117707","protein-coding",447.331502245741,1.58959578400687,1.48750337472341,0.317492255043794,5.53645040157042e-07,2.50740504565475e-05,"up"
"6915","TBXA2R","ENSG00000006638","protein-coding",72.8952037916357,4.31266795847259,3.93371588766514,0.861902327647927,5.62513399892171e-07,2.54334416826868e-05,"up"
"79651","RHBDF2","ENSG00000129667","protein-coding",256.55094343927,3.54515706848197,3.2476275616918,0.709387110531832,5.80804679029404e-07,2.60874114811494e-05,"up"
"9124","PDLIM1","ENSG00000107438","protein-coding",845.719841248845,1.98267185359039,1.84124248312001,0.396942863753061,5.88801384114951e-07,2.64030936455757e-05,"up"
"3294","HSD17B2","ENSG00000086696","protein-coding",52.2253398352239,4.12612175478363,3.78942624012111,0.82785901800821,6.22549155386827e-07,2.7682873477558e-05,"up"
"22936","ELL2","ENSG00000118985","protein-coding",568.500755409679,1.57565850262573,1.47357338452711,0.316180307936117,6.24709327189687e-07,2.76944310512189e-05,"up"
"100507582","BHLHE40-AS1","ENSG00000235831","ncRNA",32.3654761501521,4.46292235106557,4.11798927417245,0.896701974446946,6.45637021047904e-07,2.85294128717181e-05,"up"
"100506433","LINC00648","ENSG00000259129","ncRNA",296.244300361883,2.94650176279424,2.70879994874008,0.592087520747109,6.47565780254391e-07,2.85683388881161e-05,"up"
"54947","LPCAT2","ENSG00000087253","protein-coding",359.536523085892,1.79243481613894,1.66896913793447,0.360245647490507,6.50490387978525e-07,2.86047902223331e-05,"up"
"55337","SHFL","ENSG00000130813","protein-coding",122.919814369672,3.34962327309103,3.06870375563978,0.673834262879988,6.6611941292078e-07,2.92448948049471e-05,"up"
"101928100","KLRK1-AS1","ENSG00000245648","ncRNA",31.6415708702154,4.74860264140527,4.3655186172324,0.957466318379533,7.06564473038893e-07,3.07237221577869e-05,"up"
"285708","LINC00491","ENSG00000250682","ncRNA",106.850491469053,2.00812088375017,1.86370778224255,0.405032993298068,7.12521559485255e-07,3.0884241331965e-05,"up"
"100130148","MAPT-IT1","ENSG00000279685","ncRNA",60.0271837725075,-2.50609265216108,-2.31076890064993,0.506656940491714,7.56255377948293e-07,3.25727434824364e-05,"down"
"105377602","LINC02514","ENSG00000250042","ncRNA",25.5150029078196,7.48660970068247,7.37299295967581,1.51651365651932,7.94456872978306e-07,3.38968265804077e-05,"up"
"7098","TLR3","ENSG00000164342","protein-coding",83.3877116334583,3.62534036176054,3.32873739742176,0.735083208499519,8.14429745199884e-07,3.45866239456848e-05,"up"
"7414","VCL","ENSG00000035403","protein-coding",21963.5847873758,1.60200756305503,1.49345794553841,0.328552019635015,1.08278784857306e-06,4.52084653958588e-05,"up"
"107984242","LOC107984242","ENSG00000298084","ncRNA",51.1268981682134,7.06921583778647,6.49505686254391,1.45419039254625,1.16633538639528e-06,4.81504219646642e-05,"up"
"100652759","PRICKLE2-AS1","ENSG00000241111","ncRNA",302.703891985047,1.83932946812395,1.70496653808751,0.378484030865244,1.17547098167661e-06,4.8337919825688e-05,"up"
"10553","HTATIP2","ENSG00000109854","protein-coding",237.627250479848,1.64414526252345,1.52898975712074,0.338604934302591,1.1999567681735e-06,4.90489075374548e-05,"up"
"5366","PMAIP1","ENSG00000141682","protein-coding",943.622110085041,1.71882848728789,1.59513213844428,0.354910027515044,1.27894696553801e-06,5.21994162701024e-05,"up"
"9177","HTR3B","ENSG00000149305","protein-coding",10.9567695375077,-6.12126078207498,-5.576528169637,1.26809643080787,1.38517746985854e-06,5.58660925121644e-05,"down"
"6817","SULT1A1","ENSG00000196502","protein-coding",299.684565734345,1.62995391981452,1.51479572638603,0.33769238149579,1.38784892322079e-06,5.58911566361767e-05,"up"
"3875","KRT18","ENSG00000111057","protein-coding",1664.14949677397,1.99379748349693,1.84064784311806,0.413230622115726,1.40071735670718e-06,5.63261917599771e-05,"up"
"10537","UBD","ENSG00000213886","protein-coding",60.823297767025,3.21530281650623,2.93343517228785,0.671446412903976,1.67930768437084e-06,6.60164423042377e-05,"up"
"5662","PSD","ENSG00000059915","protein-coding",509.743147369066,-2.13327480419287,-1.96196396983333,0.446636991484148,1.78544911123911e-06,6.9537371043099e-05,"down"
"100505806","SNHG18","ENSG00000250786","ncRNA",268.33311532212,2.02614777338546,1.86615487465028,0.425418986123991,1.91009106676831e-06,7.38676919778314e-05,"up"
"59285","CACNG6","ENSG00000130433","protein-coding",49.7369309060191,-2.78512009169236,-2.54184070585472,0.587103776864329,2.0971560014224e-06,8.01919512240958e-05,"down"
"25903","OLFML2B","ENSG00000162745","protein-coding",771.488017729221,1.79041103041757,1.65379711271159,0.377642820019203,2.12648085033806e-06,8.1199403226354e-05,"up"
"26577","PCOLCE2","ENSG00000163710","protein-coding",68.1374139178974,2.12339507698368,1.9514216952683,0.44952140278203,2.31615232177061e-06,8.74620178680801e-05,"up"
"100846978","LINC00506","ENSG00000281392","ncRNA",12.3647999878073,-4.40959122783106,-4.0002355907532,0.934294162498528,2.36188906599305e-06,8.89427396343017e-05,"down"
"151393","RMDN2","ENSG00000115841","protein-coding",820.840888939002,2.32744248811332,2.12810667075331,0.493990703769407,2.45887180419332e-06,9.1457954801537e-05,"up"
"6594","SMARCA1","ENSG00000102038","protein-coding",12888.4512219042,1.5532441541017,1.444136021142,0.330121953898824,2.53789216702835e-06,9.41402612814436e-05,"up"
"292","SLC25A5","ENSG00000005022","protein-coding",7373.41358728054,1.88864656873736,1.73857268622499,0.403308979715941,2.82875503482518e-06,0.000104220509823613,"up"
"54663","WDR74","ENSG00000133316","protein-coding",25456.7227288086,-2.50208042111045,-2.28188926729122,0.535338177985623,2.95631957874029e-06,0.000108334807788676,"down"
"6538","SLC6A11","ENSG00000132164","protein-coding",91.6818904564535,-1.90432681095964,-1.75151115057529,0.407538607303344,2.97190646960177e-06,0.000108759809378822,"down"
"399670","RPL13AP17","ENSG00000231322","pseudo",52.5238513993322,-2.11305729675064,-1.93118096829077,0.459026141121492,4.15751666932008e-06,0.000146258754157862,"down"
"53820","RIPPLY3","ENSG00000183145","protein-coding",793.13611927101,-1.74759876338317,-1.60616167460511,0.380916846441976,4.47781244511628e-06,0.000156516767312372,"down"
"26832","RNU5B-1","ENSG00000200156","snRNA",496.604612625223,-3.50285928562454,-3.1612266681964,0.764466039817164,4.60331255904665e-06,0.000160082542869704,"down"
"23742","NPAP1","ENSG00000185823","protein-coding",42.371200415783,-2.2394707451867,-2.04075386042711,0.4887102347197,4.59647203079215e-06,0.000160082542869704,"down"
"342892","ZNF850","ENSG00000267041","protein-coding",1668.1594788105,-1.6108876582204,-1.48506593303478,0.352033897251532,4.740756954817e-06,0.000164025377685445,"down"
"10382","TUBB4A","ENSG00000104833","protein-coding",783.888836571096,-1.99319948342735,-1.81971568149742,0.437650842868511,5.25567329969678e-06,0.00018023984508545,"down"
"7200","TRH","ENSG00000170893","protein-coding",2347.65159904648,-2.72080367264178,-2.46012096888159,0.597779426694167,5.32603028542274e-06,0.000181966027195195,"down"
"54550","NECAB2","ENSG00000103154","protein-coding",586.136857475604,-1.9063090791393,-1.74382775105421,0.418821547031459,5.32389229551733e-06,0.000181966027195195,"down"
"100130015","URAHP","ENSG00000290738","pseudo",64.8872870869806,-2.0263754958826,-1.84884721078805,0.446006779634598,5.53609668020948e-06,0.000188434631572074,"down"
"80760","ITIH5","ENSG00000123243","protein-coding",37.6739059271676,3.51801161277117,3.17725162795146,0.776249587720434,5.84105733272134e-06,0.000196605663110265,"up"
"90843","TCEAL8","ENSG00000180964","protein-coding",4128.84768722787,2.01517303784993,1.83786508996228,0.444674792036182,5.84858131677706e-06,0.000196616178817028,"up"
"196740","VSTM4","ENSG00000165633","protein-coding",443.491668344946,1.92738072854494,1.75956452017323,0.425423046687912,5.88431970063761e-06,0.00019757400531796,"up"
"53373","TPCN1","ENSG00000186815","protein-coding",1007.52865310979,1.51274022039036,1.39540174147491,0.334398083240956,6.0747563001481e-06,0.000202719896899924,"up"
"4952","OCRL","ENSG00000122126","protein-coding",4085.11345015686,1.57506245074517,1.44974460702399,0.349909849223211,6.75270683252772e-06,0.000223429367818004,"up"
"440503","PLIN5","ENSG00000214456","protein-coding",92.4110360180613,-2.72955957018064,-2.46195135037552,0.609761218432405,7.58979492203499e-06,0.000249011033398751,"down"
"100","ADA","ENSG00000196839","protein-coding",791.170132955375,1.67496002380906,1.53395546099871,0.375374493956326,8.11588246316105e-06,0.000264047039947044,"up"
"161145","TMEM229B","ENSG00000198133","protein-coding",52.0596106163829,-2.31994175179543,-2.09787152611992,0.522089805867132,8.84790189395732e-06,0.000285816584403853,"down"
"9643","MORF4L2","ENSG00000123562","protein-coding",14595.9089215346,1.5792984727137,1.44985978913033,0.355705178013508,8.99970989024983e-06,0.000289008351528588,"up"
"6855","SYP","ENSG00000102003","protein-coding",910.99898585454,-2.47443196429404,-2.23290703839131,0.55728811032568,8.99043220727855e-06,0.000289008351528588,"down"
"2182","ACSL4","ENSG00000068366","protein-coding",5497.14758649655,2.00615464106118,1.82215017908248,0.452662437599754,9.34063539460748e-06,0.000299251566860844,"up"
"255027","MPV17L","ENSG00000156968","protein-coding",315.20471973277,-2.33466278711295,-2.10837225649841,0.528195922570684,9.86690767990836e-06,0.00031389891596852,"down"
"958","CD40","ENSG00000101017","protein-coding",114.678116184604,1.92854751315346,1.74898469506602,0.437911571626352,1.06289787054895e-05,0.000334242762890964,"up"
"3767","KCNJ11","ENSG00000187486","protein-coding",131.221311467458,-2.95065346871801,-2.64567947106387,0.671228393784958,1.103142816796e-05,0.000344909240334015,"down"
"3306","HSPA2","ENSG00000126803","protein-coding",156.661782602008,1.82351873263906,1.65858641341458,0.414947938701883,1.10991041108457e-05,0.000346627691269298,"up"
"56936","CCDC177","ENSG00000267909","protein-coding",588.492918757422,-2.73791418604722,-2.45778450832344,0.623771710279183,1.13721958571701e-05,0.000353940123116307,"down"
"56829","ZC3HAV1","ENSG00000105939","protein-coding",2603.40488298294,1.72824637367571,1.57416470556049,0.394857752293215,1.20388288993124e-05,0.000371297094016802,"up"
"345062","PRSS48","ENSG00000189099","protein-coding",144.743531133581,-1.7173452331335,-1.56507776686906,0.392817716570771,1.23190832182828e-05,0.000379082940026256,"down"
"3642","INSM1","ENSG00000173404","protein-coding",1483.21043631527,-2.50777003044309,-2.25071799773914,0.576687488417735,1.3702362109002e-05,0.000416358867132396,"down"
"117247","SLC16A10","ENSG00000112394","protein-coding",91.1229748041368,-2.05597634487331,-1.85757506556215,0.47281749414893,1.3716506164353e-05,0.000416358867132396,"down"
"100129845","PCOLCE-AS1","ENSG00000224729","ncRNA",89.4261941909613,2.74252317744437,2.44346289267614,0.631254856953995,1.39556531356487e-05,0.000422294036726221,"up"
"9806","SPOCK2","ENSG00000107742","protein-coding",603.247327093013,-1.71563901672605,-1.56135618280322,0.395318975454105,1.42557095357268e-05,0.000430418233424202,"down"
"117581","TWIST2","ENSG00000233608","protein-coding",25.6904720552825,4.4202872069922,3.93401592474118,1.02160076435979,1.51274402106714e-05,0.000454223050554785,"up"
"105377378","LOC105377378","ENSG00000288781","ncRNA",22.652909744921,7.32034478588651,6.94843514658185,1.69372921213077,1.54601684430769e-05,0.000463193442233022,"up"
"23704","KCNE4","ENSG00000152049","protein-coding",22.9926762598998,4.32158481995865,3.86391449440061,1.00015501743344,1.553835231959e-05,0.000465024849222067,"up"
"7477","WNT7B","ENSG00000188064","protein-coding",4291.1846552555,-1.70429423054498,-1.54901944670924,0.394710610753227,1.57569063746491e-05,0.000470532634609456,"down"
"105372145","LOC105372145","ENSG00000267579","ncRNA",54.8875580177331,2.45303446816791,2.19087955200984,0.569255316871156,1.63846855656606e-05,0.000486614452355306,"up"
"25891","PAMR1","ENSG00000149090","protein-coding",48.5162368731731,2.64967057349993,2.37400130514514,0.615187694229573,1.65414121689952e-05,0.000490734560800309,"up"
"388428","PVALEF","ENSG00000225180","protein-coding",37.2416023215637,-3.9936512785552,-3.54031987200563,0.929857720006356,1.7476755952721e-05,0.000515677786033535,"down"
"23236","PLCB1","ENSG00000182621","protein-coding",1341.28331521475,1.5476897303271,1.41139893965905,0.361615933111489,1.86954776718713e-05,0.00054705089323379,"up"
"83259","PCDH11Y","ENSG00000099715","protein-coding",289.302434168656,2.29402507439836,2.05424537546027,0.53600387304316,1.87005366965189e-05,0.00054705089323379,"up"
"359822","KCNIP4-IT1","ENSG00000280650","ncRNA",30.1960307785118,-2.69091836204503,-2.40175238059528,0.629188990523907,1.89595088474913e-05,0.00055403220709325,"down"
"3791","KDR","ENSG00000128052","protein-coding",1952.08055481569,2.08738290801098,1.8742899311558,0.489039360143822,1.9693905982148e-05,0.000571207077337536,"up"
"692223","SNORD97","ENSG00000238622","snoRNA",1258.88423114945,-2.8236304889662,-2.51442703784775,0.66149551577842,1.96742656878791e-05,0.000571207077337536,"down"
"64388","GREM2","ENSG00000180875","protein-coding",118.225095464954,-1.5115933501291,-1.37941404260506,0.354281394539844,1.98433512282066e-05,0.000574319668668602,"down"
"102467080","LINC02998","ENSG00000305702","ncRNA",68.900828756083,2.34133886743195,2.08909069211234,0.548813289571349,1.98844166928572e-05,0.00057489791804248,"up"
"100423031","MIR4321","ENSG00000284272","ncRNA",63.6528293101967,-3.65301794342867,-3.2358776822642,0.856797824403727,2.0118596879618e-05,0.00058043748711736,"down"
"6579","SLCO1A2","ENSG00000084453","protein-coding",330.035475130416,2.22148396369924,1.98805848758646,0.522523451771793,2.12387963437382e-05,0.00060825057091983,"up"
"1815","DRD4","ENSG00000069696","protein-coding",74.3604194213537,-4.16746858985344,-3.68193476067189,0.980619021909749,2.13928481583355e-05,0.000612019530103734,"down"
"100129792","CCDC152","ENSG00000198865","protein-coding",541.638201078659,2.52195162090426,2.24246306719163,0.593833075055613,2.16745491410008e-05,0.000618780008146855,"up"
"10858","CYP46A1","ENSG00000036530","protein-coding",190.876323670775,-1.78084564870073,-1.60995799478565,0.419812610653693,2.21535388427809e-05,0.000629816562053785,"down"
