"entrez","symbol","ensembl","gene_type","baseMean","l2fc_raw","l2fc_shrunk","lfcSE","pvalue","padj"
"57822","GRHL3","ENSG00000158055","protein-coding",252.484686833442,5.11454723464611,4.99442409870448,0.553766923246194,2.56074801929229e-20,6.98162339979851e-18
"3554","IL1R1","ENSG00000115594","protein-coding",409.950448931545,3.59020005000814,3.50897547533382,0.388903448736359,2.66625620141305e-20,7.19730782924014e-18
"5355","PLP2","ENSG00000102007","protein-coding",397.566607065275,4.31223846744052,4.2117794872245,0.470078057972309,4.5810920361928e-20,1.22449895367412e-17
"7291","TWIST1","ENSG00000122691","protein-coding",181.895566942651,5.60378276729508,5.47475532364996,0.611139284228303,4.75643113302001e-20,1.25902270301609e-17
"6001","RGS10","ENSG00000148908","protein-coding",159.525596004323,4.01155752370638,3.92025819051415,0.439509600566738,7.0197111545486e-20,1.84024427805397e-17
"960","CD44","ENSG00000026508","protein-coding",1959.53477687583,5.43423171170959,5.29287275464118,0.595791088926602,7.44098715122296e-20,1.93210546372326e-17
"6781","STC1","ENSG00000159167","protein-coding",1123.81988640188,4.24882358317509,4.14936455939895,0.466688636550313,8.69098503655282e-20,2.23538694374128e-17
"112268430","LOC112268430",NA,"",2556.5535963202,4.13279939515575,4.03862839728152,0.454189205537225,9.09240799720346e-20,2.31677954799771e-17
"6913","TBX15","ENSG00000092607","protein-coding",599.26711817767,9.06132416687941,8.84651759016501,0.996117447408781,9.31675421462031e-20,2.35196284173526e-17
"92241","RCSD1","ENSG00000198771","protein-coding",145.811313879021,5.27701690357414,5.15491354208509,0.580191547140497,9.43246138929633e-20,2.35932685612638e-17
"54796","BNC2","ENSG00000173068","protein-coding",1147.03450993629,3.18882233337588,3.11628228968188,0.350985409126948,1.03373569116823e-19,2.56216089854642e-17
"51393","TRPV2","ENSG00000187688","protein-coding",389.023620928341,6.21111653060573,6.05780488254478,0.685793768397512,1.34298550688652e-19,3.29866278015802e-17
"30846","EHD2","ENSG00000024422","protein-coding",1304.41511590806,6.31436309696236,6.15835582370623,0.699780503670716,1.82426733792823e-19,4.44078791975671e-17
"94031","HTRA3","ENSG00000170801","protein-coding",542.320960317533,3.85266617829864,3.7627964276912,0.427579534230439,2.05290769207751e-19,4.95313940856648e-17
"4015","LOX","ENSG00000113083","protein-coding",1596.87156503894,3.51243631883421,3.42985671609736,0.392291083648545,3.43923916992801e-19,8.22521199376467e-17
"1832","DSP","ENSG00000096696","protein-coding",3427.50063491279,4.16600957318994,4.06443559062986,0.467561702483942,5.09983122122946e-19,1.20905911665739e-16
"10631","POSTN","ENSG00000133110","protein-coding",1571.03171617091,8.21510198129867,8.00963360356981,0.925109256988886,6.67747958474795e-19,1.56943796033248e-16
"100131390","SP9","ENSG00000217236","protein-coding",131.228879344398,4.28366403464396,4.17683580016185,0.485255090873191,1.06894153980568e-18,2.49090787532155e-16
"387758","FIBIN","ENSG00000176971","protein-coding",217.017277102895,3.46398761522477,3.3801742690642,0.392582545004936,1.10847031065422e-18,2.56113004658277e-16
"2919","CXCL1","ENSG00000163739","protein-coding",244.770437343744,6.44548976195229,6.28789276810829,0.732682952389428,1.40389402038546e-18,3.21645097241925e-16
"7479","WNT8B","ENSG00000075290","protein-coding",690.728065669972,-3.93549652697799,-3.83380781744966,0.447818416354959,1.52039521495352e-18,3.45433792837439e-16
"55619","DOCK10","ENSG00000135905","protein-coding",815.88421489972,2.89741895817926,2.82764689502377,0.329877645967448,1.58727211204106e-18,3.57647825311467e-16
"3075","CFH","ENSG00000000971","protein-coding",757.242831819823,5.00267324590264,4.87539117454877,0.572128886811008,2.25075179815633e-18,5.02987680532248e-16
"11346","SYNPO","ENSG00000171992","protein-coding",1145.41640576423,3.86491121812049,3.7651751574635,0.442848085787543,2.6060016392327e-18,5.77642509691386e-16
"84848","MIR503HG",NA,"ncRNA",160.57728670932,3.48237056324972,3.39466559461178,0.399076904086649,2.63689743669663e-18,5.79777191242718e-16
"26167","PCDHB5","ENSG00000113209","protein-coding",813.292200497644,2.4310338877265,2.37345008334473,0.279010996438568,2.95832998244732e-18,6.4524726913155e-16
"90993","CREB3L1","ENSG00000157613","protein-coding",1060.77360455604,5.57944767862051,5.43224591371373,0.643878096088674,4.50013753903334e-18,9.73744046541308e-16
"91975","ZNF300","ENSG00000145908","protein-coding",832.327649923812,4.85784217072482,4.72296785634789,0.560681715258407,4.54810908919072e-18,9.7637516698973e-16
