"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045165","cell fate commitment","35/833","168/15777",0.208333333333333,3.94582833133253,9.06279288999089,1.93612765846283e-12,1.69984105851165e-10,1.63425765149097e-10,"PRDM12/EOMES/TBX15/SHH/PPARG/TBX1/SIX2/BMP4/SLAMF8/EPAS1/PAX6/KLF4/SOCS3/MEF2C/WNT10A/JAK3/EDNRA/LGALS1/PRDM1/OLIG2/TBX3/POU4F1/GATA3/WNT1/IL6R/TBX2/EDN1/STAT3/NRP1/DLL4/WNT11/WNT8B/WNT7A/HES5/TBX18",35
"GO:0043410","positive regulation of MAPK cascade","55/833","378/15777",0.145502645502645,2.75581661235923,8.15767340471628,6.59857692242922e-12,5.35605243779066e-10,5.14940478370981e-10,"OPRK1/PRKCA/INHBA/RASGRF1/ADRA1A/MAP3K5/ICAM1/TGFB1/IGF2/TBX1/CAV2/F2RL1/IL2RB/NPY/BMP4/FGF19/EGFR/MEF2C/ADRB1/TGFB2/JCAD/SHC1/ACTA2/CRIPTO/TNFRSF19/NPY5R/NTRK2/GADD45B/FZD10/FLT1/GDF6/IGFBP6/FGF17/IL6R/PDGFRA/SH3RF3/EDN1/ADAM9/NRP1/PDGFRB/FGF1/DDR2/ITGA1/CCR1/PDGFA/HGF/EDN3/CD44/ZC3H12A/GPNMB/WNT7A/NRK/IL1R1/NTF3/FGF18",55
"GO:0050920","regulation of chemotaxis","34/833","167/15777",0.203592814371257,3.8560430160088,8.76009968732875,7.93769439604678e-12,6.2087202348715e-10,5.96917488196794e-10,"KLRC4-KLRK1/SMOC2/TGFB1/RAC2/F2RL1/SLAMF8/IL16/ADGRA2/POU4F2/CXCL8/S1PR1/CDH13/PGF/CXCL12/IL6R/PDGFRA/CCL2/EDN1/NRP1/PDGFRB/FGF1/SERPINE1/CCR1/CSF1/EDN3/TNFAIP6/C3AR1/BST1/TMSB4X/GREM1/NTF3/CMKLR1/FGF18/MET",34
"GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","50/833","326/15777",0.153374233128834,2.90490429300555,8.2052380326434,8.68657694387415e-12,6.67315250224046e-10,6.41568838553727e-10,"TGFB1I1/RGCC/INHBA/LTBP2/FOXD1/BMP5/TMEM119/SHH/MYOCD/PPARG/DKK3/TGFB1/HTRA3/CAV1/LRRC32/DLX5/BMP4/ENG/NKX2-1/CDH3/FOS/DAB2/TGFB2/ACVRL1/CDKN2B/CRIPTO/COL1A2/GDF10/FBN1/ZNF703/GDF6/COL3A1/WNT1/LDLRAD4/SMAD7/ADAM9/STAT3/FURIN/PMEPA1/TNFAIP6/SFRP4/TGFBR2/TFAP2B/DACT2/RUNX2/GREM1/FERMT1/HES5/FSTL1/GDF5",50
"GO:0071559","response to transforming growth factor beta","43/833","256/15777",0.16796875,3.18132409213686,8.3074521661461,1.25245967746598e-11,9.28979574561836e-10,8.93137608486646e-10,"TGFB1I1/RGCC/LTBP2/MYOCD/PPARG/NR3C1/DKK3/TGFB1/HTRA3/LRRC32/PENK/ENG/MEF2C/RUNX3/NKX2-1/CDH3/FOS/WNT10A/DAB2/TGFB2/ACVRL1/CDKN2B/ACTA2/COL1A2/GDF10/FBN1/ZNF703/COL3A1/LDLRAD4/EDN1/SMAD7/ADAM9/STAT3/FURIN/ANKRD1/PMEPA1/DDR2/MXRA5/TGFBR2/WNT7A/FERMT1/COL1A1/GDF5",43
"GO:1902105","regulation of leukocyte differentiation","42/833","247/15777",0.17004048582996,3.22056271901473,8.30449662633077,1.4466472642715e-11,1.02024205424524e-09,9.80878991699992e-10,"ZBTB16/CASP8/PRKCA/INHBA/SHH/TGFB1/SPINK5/KISS1/PCK1/IL2RB/BMP4/SLAMF8/SMARCA2/UBASH3B/RUNX3/TNFSF4/IRF1/POU4F2/JAK3/ANXA1/IL4R/LGALS1/PRDM1/LRRC17/FBN1/CD4/RUNX1/POU4F1/JUNB/MMP14/GATA3/PSMB8/SMAD7/MAFB/CCR1/CSF1/TNFAIP6/ZC3H12A/TGFBR2/IL7R/IL13RA1/SOCS1",42
"GO:0050865","regulation of cell activation","63/833","480/15777",0.13125,2.4858718487395,7.80524177062334,1.83289081258459e-11,1.25160258345062e-09,1.20331315000768e-09,"SH3KBP1/ZBTB16/PRKCA/INHBA/PDCD1LG2/EMILIN2/SHH/KLRC4-KLRK1/FN1/TGFB1/IGF2/SPINK5/RAC2/CD274/CAV1/B2M/PCK1/BMP4/SLAMF8/SMARCA2/IL16/MEF2C/RUNX3/TNFSF4/IRF1/TNFRSF21/JAK3/ANXA1/IL4R/LGALS1/PRDM1/ACTA2/VCAM1/AHR/PEAR1/PRNP/CD4/RUNX1/JUNB/MMP14/GATA3/IL6R/PSMB8/PDGFRA/CCL2/C1QTNF1/SMAD7/KLRC3/DDR2/PDGFA/NFATC2/CYGB/KLRC2/ZC3H12A/GPNMB/TGFBR2/IL7R/THBD/IL31RA/ZP4/CD9/LGALS3/SOCS1",63
"GO:0042110","T cell activation","56/833","404/15777",0.138613861386139,2.62534320658957,7.813470367043,2.99438949258322e-11,1.95179751471106e-09,1.87649310304958e-09,"ZBTB16/CASP8/EOMES/PDCD1LG2/SHH/PTGER4/KLRC4-KLRK1/ICAM1/MICB/TGFB1/IGF2/SPINK5/RAC2/TRGC1/CD274/CAV1/B2M/ELF4/PCK1/F2RL1/TRAC/BMP4/SOCS3/SMARCA2/CEACAM21/RUNX3/TNFSF4/IRF1/TNFRSF21/JAK3/ANXA1/LGALS1/PRDM1/VCAM1/PRNP/CD4/RUNX1/JUNB/CLEC2B/GATA3/IL6R/PSMB8/IL18R1/CCL2/SMAD7/STAT3/DLL4/GSN/CD44/ZC3H12A/GPNMB/TGFBR2/IL7R/ZP4/LGALS3/SOCS1",56
"GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","51/833","350/15777",0.145714285714286,2.7598250728863,7.86050237828613,3.72992438069703e-11,2.39494547548636e-09,2.30254349288647e-09,"TGFB1I1/RGCC/INHBA/LTBP2/FOXD1/BMP5/TMEM119/SHH/MYOCD/PPARG/DKK3/TGFB1/HTRA3/CAV1/LRRC32/DLX5/BMP4/ENG/NKX2-1/CDH3/FOS/DAB2/TGFB2/ACVRL1/CDKN2B/CRIPTO/COL1A2/GDF10/FBN1/ZNF703/GDF6/COL3A1/WNT1/LDLRAD4/SMAD7/ADAM9/STAT3/FURIN/PMEPA1/AMH/TNFAIP6/SFRP4/TGFBR2/TFAP2B/DACT2/RUNX2/GREM1/FERMT1/HES5/FSTL1/GDF5",51
"GO:0008015","blood circulation","56/833","413/15777",0.135593220338983,2.56813233768083,7.62417941056687,7.15345685511893e-11,4.21563991653721e-09,4.05299175180763e-09,"HTR1A/TPM1/MMP2/ITGA4/ADRA1A/RGS4/EMILIN2/HRH1/PPARG/TGFB1/MYL4/ADM/CAV1/HTR1B/F2RL1/ECE1/NPY/SLC1A1/SGCD/DES/BDKRB2/ENG/DSP/ADRB1/KCND3/RYR2/TGFB2/ACVRL1/EDNRA/SCN2B/STC1/COL1A2/FBN1/ERAP2/HTR7/CXCL12/ADAMTS16/TBX2/NPR3/EDN1/SMAD7/AVPR1A/ITGA1/MME/PCSK5/MYOF/ADORA2B/PDE1C/GSN/ANPEP/EDN3/ZC3H12A/C3AR1/ACTC1/KLF2/TBX18",56
