"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019221","cytokine-mediated signaling pathway","69/984","415/15777",0.166265060240964,2.66581692624155,8.8694217792181,5.08499736244866e-14,6.10734946374097e-12,6.10734946374097e-12,"ISG15/PLCB1/CASP1/INHBA/CASP8/CXCL11/STAT1/TRADD/F2RL1/IL2RB/IFITM1/IRF1/SOCS3/OAS3/OSMR/F3/IL21R/OASL/PPARG/NLRC5/JAK3/SP100/MIR21/CXCL6/CD40/NLRP6/TNFRSF19/IL13RA1/IL1RAPL2/PARP9/PLVAP/CD4/CXCL12/MX1/OAS1/IL6R/IRGM/IL18R1/IL16/PARP14/CCL2/FOXC1/IL15/EDN1/IL4R/FAS/CARD16/CCDC3/STING1/STAT3/RHEX/CSF1/IL33/TMSB4X/IL1RAP/CCR1/CD44/IFITM3/STAT6/IL7R/SOCS1/IL1R1/PLP2/IL31RA/CMKLR1/OAS2/SLC1A1/CASP4/IKBKE",69
"GO:0043410","positive regulation of MAPK cascade","65/984","378/15777",0.171957671957672,2.75708962446767,8.91787589206543,5.62118884107576e-14,6.57823227453071e-12,6.57823227453071e-12,"PRKCA/RASGRF1/ADRA1A/MAP3K5/TLR3/LTBR/NRP1/ADRB1/PLCB1/JCAD/PDGFRB/INHBA/FGF1/TBX1/NTF3/TGFB2/F2RL1/IL2RB/NPY/FZD10/HGF/EGFR/FGF5/MEF2C/MIR21/CD40/IQGAP1/TNFRSF19/FGF19/IGF2/TLR6/CAV2/GDF6/FLT1/FGF17/IGFBP6/IL6R/PDGFRA/SH3RF3/IL15/EDN1/ACTA2/ANGPT1/ADAM9/ITGA1/IL1RAP/CCR1/CD44/BMP4/NPY5R/GADD45B/CALCR/GPNMB/TGFB1/DDR2/CRIPTO/SHC1/NRK/IL1R1/EDN3/FGF18/KDR/PDGFA/ICAM1/ZC3H12A",65
"GO:0045785","positive regulation of cell adhesion","65/984","379/15777",0.171503957783641,2.74981498165905,8.8929826967808,6.38868744910823e-14,7.28949237943249e-12,7.28949237943249e-12,"FBLN2/TPM1/PRKCA/ITGA4/PDCD1LG2/EMILIN2/SHH/KLRC4-KLRK1/CD274/PCK1/NRP1/RUNX3/LAMC1/ITGAV/B2M/LAMA2/TGFB2/SMAD7/NPY/CAV1/PIEZO1/VCAM1/PLAUR/SMARCA2/TNFSF4/RRAS/GPR65/DAB2/LAMB1/MIR21/ETS1/CDH13/ADAM19/TGFBR2/COL16A1/IGF2/SIRPG/CD4/RUNX1/CXCL12/GATA3/S100A10/IL6R/CCL2/IL15/ITGA5/TGM2/ADAM9/CSF1/CD44/HAS2/KLRK1/ICOSLG/FERMT1/TGFB1/FN1/IL7R/SOCS1/EDIL3/ZP4/CASS4/KDR/FOXC2/HLA-E/ANXA1",65
"GO:1902105","regulation of leukocyte differentiation","50/984","247/15777",0.202429149797571,3.24565517922386,9.17431587987416,8.31667712047317e-14,9.12749922001784e-12,9.12749922001784e-12,"PRKCA/TLR3/SHH/PCK1/SPINK5/RUNX3/KCNK18/INHBA/CASP8/HLA-B/IL2RB/SMAD7/IRF1/SMARCA2/TLR4/TNFSF4/KISS1/GPR65/POU4F2/JAK3/MIR21/LRRC17/POU4F1/TGFBR2/IL13RA1/TNFAIP6/MMP14/CD4/LGALS1/RUNX1/GATA3/UBASH3B/IL4R/MAFB/CSF1/PSMB8/CCR1/BMP4/MIR145/TGFB1/PRDM1/FBN1/PSMB9/DCSTAMP/IL7R/SOCS1/SLAMF8/ANXA1/ZC3H12A/JUNB",50
"GO:0001819","positive regulation of cytokine production","67/984","405/15777",0.165432098765432,2.65246160794941,8.68883542425661,1.5334107450878e-13,1.55521925346238e-11,1.55521925346238e-11,"DHX58/GATA4/FZD5/ISG15/TLR3/PTGER4/CD274/IFI16/LUM/PLCB1/CASP1/CASP8/IFIH1/STAT1/B2M/ZC3HAV1/TRADD/F2RL1/HMOX1/TLR1/IRF1/NLRP1/OAS3/TLR4/TNFSF4/F3/GPR65/MIR21/IL32/SULF1/MIR675/POLR3G/TLR6/CD4/RUNX1/GATA3/OAS1/IL6R/IL18R1/IL16/AFAP1L2/IL15/IL4R/TWIST1/STING1/CYP1B1/STAT3/IL33/SERPINE1/PSMB8/IL1RAP/MIR145/TNFRSF8/FERMT1/TICAM1/TGFB1/PSMB9/PANX3/BTN3A2/IL1R1/RGCC/OAS2/C3AR1/HLA-E/ANXA1/RAB7B/IKBKE",67
"GO:0007162","negative regulation of cell adhesion","49/984","248/15777",0.19758064516129,3.16791650275374,8.87492141473807,3.87904475563887e-13,3.61305311525221e-11,3.61305311525221e-11,"GBP1/MMP2/PDCD1LG2/CD274/CD9/SEMA3E/RUNX3/ASS1/SNAI2/SMAD7/DACT2/CDH1/KLF4/IRF1/TNFRSF21/DLC1/TNFSF4/TGFBI/JAK3/LAMB1/MIR21/ACVRL1/CDH13/MIR675/MMP14/ZNF703/CD164/LGALS1/RUNX1/CXCL12/FXYD5/C1QTNF1/PLXND1/CYP1B1/ANGPT1/SERPINE1/PSMB8/BMP4/GPNMB/TGFB1/PSMB9/SOCS1/RGCC/LGALS3/HLA-E/ANXA1/ZC3H12A/PRNP/SPRY4",49
"GO:0042110","T cell activation","66/984","404/15777",0.163366336633663,2.61934013523304,8.50388382187527,4.27875081314917e-13,3.90564374224256e-11,3.90564374224256e-11,"PDCD1LG2/SHH/LTBR/PTGER4/KLRC4-KLRK1/CD274/PCK1/SPINK5/RUNX3/KCNK18/CASP8/B2M/F2RL1/SMAD7/CAV1/VCAM1/MICB/IRF1/TNFRSF21/SOCS3/SMARCA2/TNFSF4/GPR65/JAK3/MIR21/KLRC1/TGFBR2/IGF2/SIRPG/CD4/LGALS1/RUNX1/GATA3/IL6R/IL18R1/CCL2/IL15/ADA/CLEC2B/STAT3/PSMB8/CD44/TRAC/BMP4/KLRK1/ICOSLG/GSN/GPNMB/TGFB1/PRDM1/PSMB9/IL7R/SOCS1/CEACAM21/ZP4/LGALS3/ELF4/ICAM1/HLA-E/TRGC1/ANXA1/ZC3H12A/RAC2/JUNB/TRBC2/PRNP",66
"GO:0032102","negative regulation of response to external stimulus","59/984","340/15777",0.173529411764706,2.78229017216643,8.56848988060132,5.67413616326937e-13,4.98014566330027e-11,4.98014566330027e-11,"DHX58/ISG15/PTGER4/KLRC4-KLRK1/KREMEN1/CD9/RHBDF2/IFI16/SPINK5/FURIN/HLA-B/NPY/TFPI/KLF4/MICB/PLAUR/OAS3/PPARG/NLRC5/MIR21/NLRP6/SPP1/KLRC1/TNFAIP6/NFATC1/GATA3/PLAU/OAS1/IRGM/IL18R1/PDGFRA/PARP14/CCL2/C1QTNF1/EDN1/CARD16/STAT3/IL33/A2M/SERPINE1/TMSB4X/IL1RAP/FAP/KLRK1/NPY5R/MIR145/PLAT/CDH5/AHR/NMI/TGFB1/THBD/GREM1/IL1R1/SLAMF8/ELF4/PDGFA/HLA-E/PLK2",59
"GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","60/984","350/15777",0.171428571428571,2.748606271777,8.53204590764212,6.1925170249846e-13,5.23382364852402e-11,5.23382364852402e-11,"TGFB1I1/TGFB3/LTBP2/GATA4/FOXD1/BMP5/TMEM119/SHH/MYOCD/GDF5/FURIN/HTRA3/INHBA/TGFB2/SMAD7/GDF10/DACT2/DLX5/SOSTDC1/CAV1/CHRDL1/LRRC32/ENG/CDH3/FOS/PPARG/ACVR1C/DAB2/MIR21/ACVRL1/CDKN2B/NKX2-1/COL1A2/TGFBR2/TFAP2B/SULF1/TNFAIP6/GDF6/ZNF703/FST/LDLRAD4/COL3A1/DKK3/FSTL1/ADAM9/STAT3/BMP4/MIR145/CDH5/FERMT1/SFRP4/TGFB1/CRIPTO/FBN1/GDF3/GREM1/RGCC/KDR/RUNX2/PMEPA1",60
"GO:0030336","negative regulation of cell migration","53/984","289/15777",0.183391003460208,2.9404063634062,8.58641373333732,9.4705458637674e-13,7.32602903766685e-11,7.32602903766685e-11,"TPM1/BMP5/EMILIN2/SHH/MYOCD/PTGER4/KLRC4-KLRK1/BST2/PLCB1/MEOX2/ARHGDIB/HMOX1/SMAD7/CDH1/KLF4/IFITM1/DLC1/ENG/MEF2C/CYGB/PPARG/ACVR1C/TIMP1/SP100/MIR21/ACVRL1/MITF/NKX2-1/STC1/SULF1/TNFAIP6/CDH11/CXCL12/GJA1/CCL2/LDLRAD4/SERPINF1/COL3A1/CYP1B1/IL33/SERPINE1/TBXA2R/BMP4/KLRK1/MIR145/VCL/TGFB1/DCN/GREM1/RGCC/SLAMF8/PTPRT/PTPRR",53
