"ensembl","symbol","gene_type","baseMean","l2fc_raw","l2fc_shrunk","padj","l2fc_ref","padj_ref"
"ENSG00000110011","DNAJC4","protein-coding",563.546486134631,-0.0071032548166734,-0.00573113039883068,0.994478048890566,0.136294698911,0.95716062706103
"ENSG00000110013","SIAE","protein-coding",1057.97200702375,0.697990604519123,0.545350159150581,0.264748329343528,0.66232990572,0.26090314147844
"ENSG00000110025","SNX15","protein-coding",651.890471276013,-0.201693059424862,-0.129710962346587,0.843250053100323,0.239309228203,0.90950905380146
"ENSG00000110031","LPXN","protein-coding",260.637479027784,0.0389583951157627,0.0306013601413552,0.962773804709184,0.0243068451116,0.994943405646814
"ENSG00000110042","DTX4","protein-coding",8075.84710678341,-1.1516232301363,-1.06066192675265,0.000998825187015363,-1.00602934217,6.32510709804597e-05
"ENSG00000110046","ATG2A","protein-coding",1265.56639996676,-0.0874097420845494,-0.0448847965466016,0.948021239626239,0.534837014057,0.727931767046629
"ENSG00000110047","EHD1","protein-coding",2964.42192293074,0.296574831916762,0.200917055428951,0.74300263323064,0.524124246809,0.523928283138881
"ENSG00000110048","OSBP","protein-coding",2738.76746797504,0.58800120671787,0.505295503688208,0.190329129696739,0.442949633278,0.32930190402078
"ENSG00000110057","UNC93B1","protein-coding",123.731134094579,-0.423556149627355,-0.203215089654351,0.754798857041431,0.342245296576,0.922427525943127
"ENSG00000110060","PUS3","protein-coding",541.631048718499,0.355161973220405,0.244120751527161,0.679459481975173,-0.023928346127,0.996027076691191
"ENSG00000110063","DCPS","protein-coding",1193.03463126185,-0.202486453157662,-0.142356118488666,0.817369523128252,0.192108878409,0.912714933469945
"ENSG00000110066","KMT5B","protein-coding",3710.67215141789,-0.0325698274652157,-0.0218153381973263,0.971450259427679,-0.202443294278,0.93785245132999
"ENSG00000110074","FOXRED1","protein-coding",1169.99280236946,-0.350185306986249,-0.247547292817792,0.661845771516396,-0.0833107505265,0.978415098383653
"ENSG00000110075","PPP6R3","protein-coding",7761.37510808038,0.37518151686677,0.277566124586546,0.61330542954575,0.0325185235128,0.993787755107699
"ENSG00000110076","NRXN2","protein-coding",1562.96028066823,-0.404668640171365,-0.291682354349353,0.604304189783064,0.276240778804,0.766424790262329
"ENSG00000110080","ST3GAL4","protein-coding",660.024670442123,0.682553563637614,0.559066773474427,0.20725853548876,0.742011551818,0.0423952301268175
"ENSG00000110090","CPT1A","protein-coding",406.874696806711,1.07556524944868,0.961345487211917,0.00913172805062413,1.0822887469,0.0165263352525669
"ENSG00000110092","CCND1","protein-coding",13095.5962598591,0.793815728601411,0.706350441152079,0.0391094955099044,0.617064816137,0.0408559935954344
"ENSG00000110104","CCDC86","protein-coding",1308.13235938858,0.464654147515128,0.311407329504007,0.594985134489582,0.739804487547,0.2793417608133
"ENSG00000110107","PRPF19","protein-coding",5014.50816448407,0.224129791129239,0.182931400747624,0.705957696347483,0.103390516524,0.951801945545452
"ENSG00000110108","TMEM109","protein-coding",2565.47411264076,0.0285595782076847,0.0214307568661443,0.979671151319639,0.605616764327,0.240203214756512
"ENSG00000110148","CCKBR","protein-coding",27.0018679882992,-1.1256782807934,-0.5571057116791,0.384941898216573,-2.59153960149,0.0194196457279522
"ENSG00000110169","HPX","protein-coding",68.1404289428918,-0.614388638228401,-0.431452947257557,0.437411737059613,0.108335460075,0.983567656841549
"ENSG00000110171","TRIM3","protein-coding",633.502908039022,0.601721540431784,0.453989946780099,0.376834327790623,0.465512367084,0.478514896566261
"ENSG00000110172","CHORDC1","protein-coding",1709.49399759165,0.399367767182901,0.250745345230161,0.682200544370078,-0.244625076923,0.942475307703324
"ENSG00000110195","FOLR1","protein-coding",6.9136161882946,1.23651445069348,0.377357287608181,0.503889744797357,-0.177656923437,0.985672130989441
"ENSG00000110200","ANAPC15","protein-coding",650.464335913493,0.215826442575998,0.172205773685822,0.740971106941578,0.134960746463,0.944174844464873
"ENSG00000110218","PANX1","protein-coding",5014.02032258946,0.311595987502226,0.221034179545949,0.704341733558189,0.072934888661,0.980161849166037
"ENSG00000110237","ARHGEF17","protein-coding",4508.4400494336,-0.469088813647794,-0.291155985812197,0.630143634186232,0.314258697262,0.81476637144783
"ENSG00000110274","CEP164","protein-coding",1726.80495483651,-0.0722315284201395,-0.0356052187010058,0.95915108822501,0.470481478769,0.83451841336306
"ENSG00000110315","RNF141","protein-coding",1873.80770242292,0.1171939614427,0.0782217974862327,0.909006665977346,-0.137983537457,0.975707496457884
"ENSG00000110318","CEP126","protein-coding",329.877730232563,-0.263078459325463,-0.195356040823132,0.723791089175089,-0.19799263139,0.940865624699084
"ENSG00000110321","EIF4G2","protein-coding",63651.943097387,0.455544812577658,0.36346105060703,0.448880808772342,0.228585729423,0.897914805501193
"ENSG00000110324","IL10RA","protein-coding",9.16168237336292,0.376821194086021,0.140205739442846,0.828824802957931,-0.37011598645,0.948673306971277
"ENSG00000110328","GALNT18","protein-coding",527.920961298509,-0.222140912539295,-0.171056522899011,0.748966124215706,-0.538408384507,0.495737359720491
"ENSG00000110330","BIRC2","protein-coding",3078.00678358914,0.639646768987625,0.412265987584999,0.480026648384977,0.0814388038529,0.985672130989441
"ENSG00000110344","UBE4A","protein-coding",4343.06406157167,0.760349429082942,0.561256192918663,0.289585070272202,0.248831552216,0.906849207688818
"ENSG00000110367","DDX6","protein-coding",20437.8678111003,0.0362801917011391,0.0329471325661439,0.967208921074795,-0.137971960695,0.964931888416296
"ENSG00000110375","UPK2","protein-coding",7.05315865106875,1.77661183257768,0.604817360569762,0.312514359004138,1.23104523245,0.712494638602295
"ENSG00000110395","CBL","protein-coding",8067.72999058429,0.13245533370339,0.114210323242325,0.823306995795368,0.051274198302,0.985159643431111
"ENSG00000110400","NECTIN1","protein-coding",4766.47118947471,-0.39182136831869,-0.26681564971478,0.642271838447028,0.133460390864,0.948894896764691
"ENSG00000110422","HIPK3","protein-coding",3851.82921740747,0.512398082433211,0.396898152776051,0.425260935946491,0.342946126738,0.824366234466969
"ENSG00000110427","KIAA1549L","protein-coding",2739.27819856094,0.262928987717432,0.211639268842035,0.671434439489393,-0.139658194256,0.933082866606176
"ENSG00000110429","FBXO3","protein-coding",1393.16512636471,0.147589014829103,0.102021595185085,0.878164716467358,-0.127694542541,0.975901808250945
"ENSG00000110435","PDHX","protein-coding",1574.01404785295,-0.0013435462953358,-0.000175590627714462,0.998941572518931,0.170267653737,0.952793933775948
"ENSG00000110436","SLC1A2","protein-coding",1591.60872157274,0.646008816794442,0.505269478904289,0.299726659156741,0.491923055956,0.599761485085622
"ENSG00000110442","COMMD9","protein-coding",973.665310022842,0.537472664483854,0.450825132908222,0.282381712042347,0.299801160679,0.752491460935676
"ENSG00000110446","SLC15A3","protein-coding",208.278346611965,-0.27990113817619,-0.187427268981767,0.757786852161775,0.593802260592,0.824955371388343
"ENSG00000110448","CD5","protein-coding",46.3705016975078,-0.999331924139118,-0.62964256490728,0.307999549887031,0.138877964536,0.98459688843619
"ENSG00000110455","ACCS","protein-coding",242.586218953003,0.435754924896342,0.309685210976307,0.579927793997799,0.716970505571,0.235339036577638
"ENSG00000110492","MDK","protein-coding",21695.0784740768,-0.891685332804936,-0.686987186554239,0.180035241340741,-0.0988081227027,0.959897677937663
"ENSG00000110497","AMBRA1","protein-coding",2976.40531665077,0.0218809303883566,0.0183740914110851,0.978811850401309,0.192924782144,0.868125769020547
"ENSG00000110514","MADD","protein-coding",2710.52775584077,0.119964599326453,0.0939249644399957,0.872770274262173,0.246318411697,0.794458239292002
